sample_index,elapsed_seconds,timestamp,raw_adc
433,41.797000,2026-09-08T10:51:34.675+08:00,20282030
434,41.828000,2026-09-08T10:51:34.706+08:00,2031
435,41.860000,2026-09-08T10:51:34.738+08:00,2033
436,41.875000,2026-09-08T10:51:34.753+08:00,2034
437,41.907000,2026-09-08T10:51:34.785+08:00,2032
438,41.938000,2026-09-08T10:51:34.816+08:00,2033
439,41.953000,2026-09-08T10:51:34.831+08:00,2032
440,41.985000,2026-09-08T10:51:34.863+08:00,2032
441,42.016000,2026-09-08T10:51:34.894+08:00,2030
442,42.032000,2026-09-08T10:51:34.910+08:00,2030
443,42.063000,2026-09-08T10:51:34.941+08:00,2029
444,42.094000,2026-09-08T10:51:34.972+08:00,2033
445,42.110000,2026-09-08T10:51:34.988+08:00,2033
446,42.141000,2026-09-08T10:51:35.019+08:00,2037
447,42.172000,2026-09-08T10:51:35.050+08:00,2039
448,42.188000,2026-09-08T10:51:35.066+08:00,2039
449,42.219000,2026-09-08T10:51:35.097+08:00,2041
450,42.266000,2026-09-08T10:51:35.144+08:00,2044
451,42.297000,2026-09-08T10:51:35.175+08:00,2046
452,42.328000,2026-09-08T10:51:35.206+08:00,2047
453,42.344000,2026-09-08T10:51:35.222+08:00,2047
454,42.375000,2026-09-08T10:51:35.253+08:00,2046
455,42.407000,2026-09-08T10:51:35.285+08:00,2046
456,42.422000,2026-09-08T10:51:35.300+08:00,2046047
457,42.453000,2026-09-08T10:51:35.331+08:00,2043
458,42.485000,2026-09-08T10:51:35.363+08:00,2042
459,42.500000,2026-09-08T10:51:35.378+08:00,2044
460,42.532000,2026-09-08T10:51:35.410+08:00,2047
461,42.563000,2026-09-08T10:51:35.441+08:00,2046
462,42.578000,2026-09-08T10:51:35.456+08:00,2051
463,42.610000,2026-09-08T10:51:35.488+08:00,2055
464,42.641000,2026-09-08T10:51:35.519+08:00,2052
465,42.657000,2026-09-08T10:51:35.535+08:00,2054
466,42.688000,2026-09-08T10:51:35.566+08:00,2053
467,42.719000,2026-09-08T10:51:35.597+08:00,2054
468,42.735000,2026-09-08T10:51:35.613+08:00,2055
469,42.766000,2026-09-08T10:51:35.644+08:00,2055
470,42.797000,2026-09-08T10:51:35.675+08:00,2056
471,42.813000,2026-09-08T10:51:35.691+08:00,2059
472,42.844000,2026-09-08T10:51:35.722+08:00,2054
473,42.875000,2026-09-08T10:51:35.753+08:00,2057
474,42.891000,2026-09-08T10:51:35.769+08:00,2054
475,42.922000,2026-09-08T10:51:35.800+08:00,2055
476,42.953000,2026-09-08T10:51:35.831+08:00,2055
